S. No.,University Name,College Name,College Type,State Name,District Name
5338,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SMT. RAMDULARI MEMORIAL KANYA MAHAVIDYALAYA, SARAI, (Id: C-12421)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5339,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SMT. SHAKUNTALA DEVI MAHILA MAHAVIDYALAYA, RUR, KHIDINI, (Id: C-12442)",Affiliated College,Uttar Pradesh,Kannauj
5340,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SMT VIMALA DEVI MAHAVIDHYALAYA HUSAMGANJ PHOOLPUR, ALLAHABAD (Id: C-46437)",Affiliated College,Uttar Pradesh,Allahabad
5341,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SMT. VIMLA RANI BHARGAVA BALIKA MAHAVIDYALAYA, TEWA, MANJHANPUR, (Id: C-12514)",Affiliated College,Uttar Pradesh,Kaushambi
5342,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","S.N. DEGREE COLLEGE, CHHIWLAHA, (Id: C-12179)",Affiliated College,Uttar Pradesh,Fatehpur
5343,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SNEHLATA GUPTA MEMORIAL DEGREE COLLEGE, RASULABAD, (Id: C-12210)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5344,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","S.N. SEN B.V.P.G. COLLEGE, (Id: C-12420)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5345,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","S N T COLLEGE OF EDU AND TECH MAHILA HANUMANGANJ, ALLAHABAD (Id: C-46436)",Affiliated College,Uttar Pradesh,Allahabad
5346,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SOM CHANDRA DWIVEDI MAHAVIDYALAYA,BAMHRAULI,SIRATHU (Id: C-47722)",Affiliated College,Uttar Pradesh,Kaushambi
5347,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SONAMATI MAHAVIDYALAYA, NANAMAU MARG, BILHOUR, (Id: C-12436)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5348,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SONELAL MEMORIAL MAHAVIDYALAYA, SUBHAN KHERA, (Id: C-12040)",Affiliated College,Uttar Pradesh,Hardoi
5349,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SONE SHREE SMARAK BALIKA MAHAVIDYALAYA, TIRWA, (Id: C-12190)",Affiliated College,Uttar Pradesh,Kannauj
5350,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","S.P.B. SANATAN DHARM DEGREE COLLEGE, HINDPAL KHERA, MAHAI, (Id: C-12516)",Affiliated College,Uttar Pradesh,Unnao
5351,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","S P MAHILA MAHAVIDYALAYA, TIRWA (Id: C-47858)",Affiliated College,Uttar Pradesh,Kannauj
5352,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","S.P. MAHILA MAHAVIDYALAYA, TIRWA (Id: C-47730)",Affiliated College,Uttar Pradesh,Kannauj
5353,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","S.R. DEGREE COLLEGE, RASOOLPUR, BHAIMECHA, HASWA, (Id: C-12434)",Affiliated College,Uttar Pradesh,Fatehpur
5354,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI AMAR SINGH SNATAK MAHAVIDYALAYA,KAURAPUR, GAURA DEEH, (Id: C-12066)",Affiliated College,Uttar Pradesh,Rae Bareli
