S. No.,University Name,College Name,College Type,State Name,District Name
1,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Aazad College of Education (Id: C-39230),Affiliated College,Andhra Pradesh,Prakasam
2,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Abhinav Institute of Management & Technology (Id: C-39450),Affiliated College,Andhra Pradesh,Prakasam
3,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Abhyudaya Mahila Degree College (Id: C-32630),Affiliated College,Andhra Pradesh,Guntur
4,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.B.M. College (Id: C-32735),Affiliated College,Andhra Pradesh,Prakasam
5,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.B.R College of Education (Id: C-39231),Affiliated College,Andhra Pradesh,Prakasam
6,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.C.College (Day) (Id: C-32762),Affiliated College,Andhra Pradesh,Guntur
7,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.C.College of Law (Id: C-32792),Affiliated College,Andhra Pradesh,Guntur
8,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.C.Evening College (Id: C-32720),Affiliated College,Andhra Pradesh,Guntur
9,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Acharya N.G.Ranga College of Education (Id: C-32793),Affiliated College,Andhra Pradesh,Guntur
10,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Adarsa College of Education (Id: C-32801),Affiliated College,Andhra Pradesh,Prakasam
11,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Adarsa Degree College for Women (Id: C-32733),Affiliated College,Andhra Pradesh,Guntur
12,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.G.K.M.College (Id: C-32664),Affiliated College,Andhra Pradesh,Guntur
13,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.L.College of Education (Id: C-32711),Affiliated College,Andhra Pradesh,Guntur
14,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Ali College of Education (Id: C-39243),Affiliated College,Andhra Pradesh,Guntur
15,"Acharya Nagarjuna University, Guntur (Id: U-0003)",AL Momin College of Education (Id: C-39261),Affiliated College,Andhra Pradesh,Prakasam
16,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Alpha College of Education (Id: C-39238),Affiliated College,Andhra Pradesh,Prakasam
17,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Alpha College of Education, Kanigiri (Id: C-44489)",Affiliated College,Andhra Pradesh,Prakasam
18,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Alpha Degree College (Id: C-32797),Affiliated College,Andhra Pradesh,Prakasam
19,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Aman Showkath B.Ed College (Id: C-39227),Affiliated College,Andhra Pradesh,Guntur
20,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.M.G.College of Education (Id: C-32649),Affiliated College,Andhra Pradesh,Guntur
21,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.M.G.Degree College for Women (Id: C-32769),Affiliated College,Andhra Pradesh,Guntur
22,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.M Reddy College of Education (Id: C-37211),Affiliated College,Andhra Pradesh,Guntur
23,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.M. Reddy Memorial College of Pharmacy (Id: C-39491),Affiliated College,Andhra Pradesh,Guntur
24,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Amrutha College of Education (Id: C-39232),Affiliated College,Andhra Pradesh,Prakasam
25,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Amrutha Degree College (Id: C-44105),Affiliated College,Andhra Pradesh,Prakasam
26,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Kesari College of Education (Id: C-39275),Affiliated College,Andhra Pradesh,Prakasam
27,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Kesari Vidya Kendram Degree College (Id: C-32631),Affiliated College,Andhra Pradesh,Prakasam
28,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Muslim College (Id: C-32727),Affiliated College,Andhra Pradesh,Guntur
29,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Muslim College of Education (Id: C-36923),Affiliated College,Andhra Pradesh,Guntur
30,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Anitha Venkateswara College of Eduation (Id: C-39241),Affiliated College,Andhra Pradesh,Guntur
31,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Annabattuni Satyanarayana Degree College (Id: C-32656),Affiliated College,Andhra Pradesh,Guntur
32,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Anniebesant College of Education (Id: C-32740),Affiliated College,Andhra Pradesh,Prakasam
33,"Acharya Nagarjuna University, Guntur (Id: U-0003)",ANU PG Campus Ongole (Id: C-32629),PG Center / Off-Campus Center,Andhra Pradesh,Prakasam
34,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.P.Residential Degree College (Id: C-32778),Affiliated College,Andhra Pradesh,Guntur
35,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Asha College of Education (Id: C-39244),Affiliated College,Andhra Pradesh,Prakasam
36,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.S.M & A.W. D Women's Degree College (Id: C-39265),Affiliated College,Andhra Pradesh,Guntur
37,"Acharya Nagarjuna University, Guntur (Id: U-0003)","A.S.N Pharmacy College, Tenali (Id: C-39489)",Affiliated College,Andhra Pradesh,Guntur
38,"Acharya Nagarjuna University, Guntur (Id: U-0003)",B.A & K.R College of Education (Id: C-39269),Affiliated College,Andhra Pradesh,Prakasam
39,"Acharya Nagarjuna University, Guntur (Id: U-0003)",B.A & K.R Degree College (Id: C-32771),Affiliated College,Andhra Pradesh,Prakasam
40,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Balaji Degree College (Id: C-32669),Affiliated College,Andhra Pradesh,Guntur
41,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Bapatla College of Arts & Science (Id: C-32779),Affiliated College,Andhra Pradesh,Guntur
42,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Bapatla Engineering College (Id: C-42660),Affiliated College,Andhra Pradesh,Guntur
43,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Bapatla Womens Engineering College (Id: C-39453),Affiliated College,Andhra Pradesh,Guntur
44,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Bapuji College of Education (Id: C-39240),Affiliated College,Andhra Pradesh,Guntur
45,"Acharya Nagarjuna University, Guntur (Id: U-0003)",B.B.H Degree College (Id: C-32756),Affiliated College,Andhra Pradesh,Prakasam
46,"Acharya Nagarjuna University, Guntur (Id: U-0003)","B.G Degree College, Sattenapalli (Id: C-40608)",Affiliated College,Andhra Pradesh,Guntur
47,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Bharathi Degree College (Id: C-32667),Affiliated College,Andhra Pradesh,Prakasam
48,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Bhashyam College of Education (Id: C-39234),Affiliated College,Andhra Pradesh,Guntur
49,"Acharya Nagarjuna University, Guntur (Id: U-0003)",B.H.H Degree College for Women (Id: C-32803),Affiliated College,Andhra Pradesh,Guntur
50,"Acharya Nagarjuna University, Guntur (Id: U-0003)","B.M.Degree College, P.Dornala (Id: C-39300)",Affiliated College,Andhra Pradesh,Prakasam
51,"Acharya Nagarjuna University, Guntur (Id: U-0003)",BMRM Jhansi B.Ed College (Id: C-39237),Affiliated College,Andhra Pradesh,Prakasam
52,"Acharya Nagarjuna University, Guntur (Id: U-0003)",B.R College of Education (Id: C-37221),Affiliated College,Andhra Pradesh,Guntur
53,"Acharya Nagarjuna University, Guntur (Id: U-0003)",B.S.S.B College (Id: C-32652),Affiliated College,Andhra Pradesh,Guntur
54,"Acharya Nagarjuna University, Guntur (Id: U-0003)",B.V.S.P.M Degree College (Id: C-32663),Affiliated College,Andhra Pradesh,Prakasam
55,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Career Degree College (Id: C-32782),Affiliated College,Andhra Pradesh,Guntur
56,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Chaitanya Bharathi Degree College, Chirala (Id: C-42659)",Affiliated College,Andhra Pradesh,Prakasam
57,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Chaitanya College of Education (Id: C-32763),Affiliated College,Andhra Pradesh,Prakasam
58,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Chakradhar Degree College, Macherla (Id: C-39308)",Affiliated College,Andhra Pradesh,Guntur
59,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Chalapathi Degree College, Lam (Id: C-42706)",Affiliated College,Andhra Pradesh,Guntur
60,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Chalapathi Institute of Engineering & Technology, Lam (Id: C-39475)",Affiliated College,Andhra Pradesh,Guntur
61,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Chalapathi Institute of Pharmaceutical Sciences, Lam (Id: C-39486)",Affiliated College,Andhra Pradesh,Guntur
62,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Chebrolu Hanumaiah College of Pharmaceutical Sciences (Id: C-39452),Affiliated College,Andhra Pradesh,Guntur
63,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Chegireddy Linga Reddy Instt of Management (Id: C-39466),Affiliated College,Andhra Pradesh,Prakasam
64,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Chirala College of PG Studies, Chirala (Id: C-39457)",Affiliated College,Andhra Pradesh,Guntur
65,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Chiristian Women's College (Id: C-32703),Affiliated College,Andhra Pradesh,Guntur
66,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Christu Jayanthi Jubilee College (P.G.) (Id: C-32819),Affiliated College,Andhra Pradesh,Guntur
67,"Acharya Nagarjuna University, Guntur (Id: U-0003)",C.I.L.For Rural Management (Id: C-42663),Affiliated College,Andhra Pradesh,Guntur
68,"Acharya Nagarjuna University, Guntur (Id: U-0003)",C.R. College (Id: C-32796),Affiliated College,Andhra Pradesh,Guntur
69,"Acharya Nagarjuna University, Guntur (Id: U-0003)",C.S.R. Sarma College (Id: C-32702),Affiliated College,Andhra Pradesh,Prakasam
70,"Acharya Nagarjuna University, Guntur (Id: U-0003)",D.C.R.M Degree College (Id: C-32662),Affiliated College,Andhra Pradesh,Prakasam
71,"Acharya Nagarjuna University, Guntur (Id: U-0003)","D.C.R.M P.G College, MBA (Id: C-32655)",Affiliated College,Andhra Pradesh,Prakasam
72,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Devathi Venkata Subbaiah Degree College (Id: C-32710),Affiliated College,Andhra Pradesh,Prakasam
73,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Devathi Venkata Subbiah College of Education (Id: C-37223),Affiliated College,Andhra Pradesh,Prakasam
74,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Don Bosco College (P.G.) (Id: C-32804),Affiliated College,Andhra Pradesh,Guntur
75,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr. B.R.Ambedkar Centenary Degree College (Id: C-32741),Affiliated College,Andhra Pradesh,Guntur
76,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr.Homi Jahangir Baba Degree College (Id: C-32813),Affiliated College,Andhra Pradesh,Guntur
77,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr. Jayapradamba Degree College (Id: C-32776),Affiliated College,Andhra Pradesh,Guntur
78,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr. K.R.R.M. Degree College (Id: C-32636),Affiliated College,Andhra Pradesh,Guntur
79,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr. K.S.P.R College of Education (Id: C-39242),Affiliated College,Andhra Pradesh,Guntur
80,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr.K.V.K. Sanskrit College (Id: C-32692),Affiliated College,Andhra Pradesh,Guntur
81,"Acharya Nagarjuna University, Guntur (Id: U-0003)",D.R.N.S.C.V.S. College (Id: C-32790),Affiliated College,Andhra Pradesh,Guntur
82,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr. Samuel George College of Pharmaceutical Science (Id: C-32811),Affiliated College,Andhra Pradesh,Prakasam
83,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Dr. Zakir Hussain College of Education (Id: C-36922),Affiliated College,Andhra Pradesh,Guntur
84,"Acharya Nagarjuna University, Guntur (Id: U-0003)","D.S.Govt. Degree College for Women, Ongole (Id: C-32817)",Affiliated College,Andhra Pradesh,Prakasam
85,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Erigineni Tirupati Naidu & Lakshmamma Degree College (Id: C-32786),Affiliated College,Andhra Pradesh,Prakasam
86,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Fatima College of Education (Id: C-32654),Affiliated College,Andhra Pradesh,Guntur
87,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.C.K.V.N. Degree College (Id: C-32628),Affiliated College,Andhra Pradesh,Guntur
88,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.C & Y P N Degree College (Id: C-32698),Affiliated College,Andhra Pradesh,Prakasam
89,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Geetham Degree College (Id: C-32777),Affiliated College,Andhra Pradesh,Prakasam
90,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Geethanjali Degree College, Darsi (Id: C-41015)",Affiliated College,Andhra Pradesh,Prakasam
91,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Geethika B.Ed College (Id: C-39236),Affiliated College,Andhra Pradesh,Guntur
92,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Goutham College of Education (Id: C-39310),Affiliated College,Andhra Pradesh,Prakasam
93,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Government Degree College, Cumbum (Id: C-39309)",Affiliated College,Andhra Pradesh,Prakasam
94,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Government Degree College, Yerragondapalem (Id: C-39295)",Affiliated College,Andhra Pradesh,Prakasam
95,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Govt. Degree College, Chebrolu (Id: C-32624)",Affiliated College,Andhra Pradesh,Guntur
96,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Govt. Degree College for Women, Guntur (Id: C-32670)",Affiliated College,Andhra Pradesh,Guntur
97,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Govt. Degree College, Kanigiri (Id: C-32748)",Affiliated College,Andhra Pradesh,Prakasam
98,"Acharya Nagarjuna University, Guntur (Id: U-0003)","G.R.K Degree College, Maddipadu (Id: C-39306)",Affiliated College,Andhra Pradesh,Prakasam
99,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.R.R. & T.P.R. Degree College (Id: C-42707),Affiliated College,Andhra Pradesh,Prakasam
100,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.S.R. Degree College (Id: C-41014),Affiliated College,Andhra Pradesh,Guntur
101,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.V.& A.D.S.L. College of Education (Id: C-32678),Affiliated College,Andhra Pradesh,Prakasam
102,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.V.R & S College of Education (Id: C-39228),Affiliated College,Andhra Pradesh,Guntur
103,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G V R & S Degree College for Women (Id: C-32690),Affiliated College,Andhra Pradesh,Guntur
104,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.V.R.S Institute for Professional Studies (Id: C-32718),Affiliated College,Andhra Pradesh,Guntur
105,"Acharya Nagarjuna University, Guntur (Id: U-0003)",G.V.S.M. GOVT. Degree College (Id: C-32724),Affiliated College,Andhra Pradesh,Prakasam
106,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Hazarath Ameeruddin College of Education (Id: C-39272),Affiliated College,Andhra Pradesh,Prakasam
107,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Hindu College, Guntur (Id: C-32675)",Affiliated College,Andhra Pradesh,Guntur
108,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Hindu College of Education (Id: C-37107),Affiliated College,Andhra Pradesh,Guntur
109,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Hindu College of Management, Guntur (Id: C-39487)",Affiliated College,Andhra Pradesh,Guntur
110,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Hindu College of Pharmacy (Id: C-32798),Affiliated College,Andhra Pradesh,Guntur
111,"Acharya Nagarjuna University, Guntur (Id: U-0003)",H.M.K.S. & M.G.S. Memorial College of Education (Id: C-32809),Affiliated College,Andhra Pradesh,Guntur
112,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Ideal & S.K.C.M Degree College (Id: C-32830),Affiliated College,Andhra Pradesh,Prakasam
113,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Indira Priyadarsni Law College (Id: C-32736),Affiliated College,Andhra Pradesh,Prakasam
114,"Acharya Nagarjuna University, Guntur (Id: U-0003)",J.C. College of Law (Id: C-32815),Affiliated College,Andhra Pradesh,Guntur
115,"Acharya Nagarjuna University, Guntur (Id: U-0003)",J.K.C. College (Id: C-32701),Affiliated College,Andhra Pradesh,Guntur
116,"Acharya Nagarjuna University, Guntur (Id: U-0003)",J.M.J. College for Women (Id: C-32812),Affiliated College,Andhra Pradesh,Guntur
117,"Acharya Nagarjuna University, Guntur (Id: U-0003)",J.R.R Navodaya Degree College (Id: C-39268),Affiliated College,Andhra Pradesh,Guntur
118,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Kalikamba College of Education (Id: C-32722),Affiliated College,Andhra Pradesh,Prakasam
119,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Kalyani MCA College, Eethamukkala (Id: C-42704)",Affiliated College,Andhra Pradesh,Prakasam
120,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Kamala College of Education (Id: C-39274),Affiliated College,Andhra Pradesh,Prakasam
121,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Kamala Institute of Management Studies (Id: C-44107),Affiliated College,Andhra Pradesh,Prakasam
122,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Kasturibai College of Education (Id: C-37209),Affiliated College,Andhra Pradesh,Guntur
123,"Acharya Nagarjuna University, Guntur (Id: U-0003)",K Chandrakala College (P.G.) (Id: C-32666),Affiliated College,Andhra Pradesh,Guntur
124,"Acharya Nagarjuna University, Guntur (Id: U-0003)",K.C Reddy Institute of Pharmaceutical Sciences (Id: C-39485),Affiliated College,Andhra Pradesh,Guntur
125,"Acharya Nagarjuna University, Guntur (Id: U-0003)","KC Reddy PG College, Janamguntapalem (Id: C-42658)",Affiliated College,Andhra Pradesh,Guntur
126,"Acharya Nagarjuna University, Guntur (Id: U-0003)",K.L.N. Sanskrit College (Id: C-32794),Affiliated College,Andhra Pradesh,Guntur
127,"Acharya Nagarjuna University, Guntur (Id: U-0003)",K.L.R. Degree College (Id: C-32764),Affiliated College,Andhra Pradesh,Prakasam
128,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Konijeti Rosaiah Siva Lakshmi College (Id: C-41017),Affiliated College,Andhra Pradesh,Guntur
129,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Krishnaveni Degree College (Id: C-32694),Affiliated College,Andhra Pradesh,Guntur
130,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Krishnaveni Degree College, Vinukonda (Id: C-42745)",Affiliated College,Andhra Pradesh,Guntur
131,"Acharya Nagarjuna University, Guntur (Id: U-0003)",K R K Govt. Degree College (Id: C-32818),Affiliated College,Andhra Pradesh,Prakasam
132,"Acharya Nagarjuna University, Guntur (Id: U-0003)",K.S.R & K.R.K College of Education (Id: C-39235),Affiliated College,Andhra Pradesh,Guntur
133,"Acharya Nagarjuna University, Guntur (Id: U-0003)","K.S.R.N. Degree College, Govada (Id: C-39316)",Affiliated College,Andhra Pradesh,Guntur
134,"Acharya Nagarjuna University, Guntur (Id: U-0003)","K.V.R., K.VR. & M.K.R College (Id: C-39270)",Affiliated College,Andhra Pradesh,Guntur
135,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Lakshmi Narsimha College of Education (Id: C-37212),Affiliated College,Andhra Pradesh,Guntur
136,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Magunta Subba Rami Reddy Degree College (Id: C-32688),Affiliated College,Andhra Pradesh,Prakasam
137,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Mahatma Gandhi College (Id: C-32829),Affiliated College,Andhra Pradesh,Guntur
138,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Malineni Lakshmaiah B.Ed College (Id: C-39262),Affiliated College,Andhra Pradesh,Prakasam
139,"Acharya Nagarjuna University, Guntur (Id: U-0003)",M.A.M College of Education (Id: C-39245),Affiliated College,Andhra Pradesh,Guntur
140,"Acharya Nagarjuna University, Guntur (Id: U-0003)","M.A.M College of Pharmacy, Narsaraopet (Id: C-39470)",Affiliated College,Andhra Pradesh,Guntur
141,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Matrusri Oriental College (Id: C-32821),Affiliated College,Andhra Pradesh,Guntur
142,"Acharya Nagarjuna University, Guntur (Id: U-0003)",M.G College of Education (Id: C-37222),Affiliated College,Andhra Pradesh,Prakasam
143,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Mittapalli Lakshmaiah & Sons Degree College, Piduguralla (Id: C-41008)",Affiliated College,Andhra Pradesh,Guntur
144,"Acharya Nagarjuna University, Guntur (Id: U-0003)",M.L. College of MBA (Id: C-32751),Affiliated College,Andhra Pradesh,Prakasam
145,"Acharya Nagarjuna University, Guntur (Id: U-0003)",M.L. College of Pharmacy (Id: C-32658),Affiliated College,Andhra Pradesh,Prakasam
146,"Acharya Nagarjuna University, Guntur (Id: U-0003)","M.M.R Degree College, Macherla (Id: C-39305)",Affiliated College,Andhra Pradesh,Guntur
147,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Modern Degree College (Id: C-32674),Affiliated College,Andhra Pradesh,Guntur
148,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Morning Star College (Id: C-32633),Affiliated College,Andhra Pradesh,Guntur
149,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Mother Theresa Womens Degree College, Karampudi (Id: C-42779)",Affiliated College,Andhra Pradesh,Guntur
150,"Acharya Nagarjuna University, Guntur (Id: U-0003)","M.S.R. Degree College, Bapatla (Id: C-39315)",Affiliated College,Andhra Pradesh,Guntur
151,"Acharya Nagarjuna University, Guntur (Id: U-0003)",M.V.G.R. Degree College (Id: C-32719),Affiliated College,Andhra Pradesh,Guntur
152,"Acharya Nagarjuna University, Guntur (Id: U-0003)","M.V.R Degree College, Karlapalem (Id: C-39264)",Affiliated College,Andhra Pradesh,Guntur
153,"Acharya Nagarjuna University, Guntur (Id: U-0003)",M.V.R.S. Viveka Degree College (Id: C-32721),Affiliated College,Andhra Pradesh,Guntur
154,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Nagarjuna College of Education (Id: C-32641),Affiliated College,Andhra Pradesh,Guntur
155,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Nagarjuna Institute of Management Studies, Chekurapadu (Id: C-39467)",Affiliated College,Andhra Pradesh,Prakasam
156,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Nalanda College of Education (Id: C-37207),Affiliated College,Andhra Pradesh,Guntur
157,"Acharya Nagarjuna University, Guntur (Id: U-0003)",National Minority Degree College (Id: C-32683),Affiliated College,Andhra Pradesh,Prakasam
158,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Navya Chaitanya College of Education (Id: C-32758),Affiliated College,Andhra Pradesh,Prakasam
159,"Acharya Nagarjuna University, Guntur (Id: U-0003)",N.B.T & N V C College (Id: C-32746),Affiliated College,Andhra Pradesh,Guntur
160,"Acharya Nagarjuna University, Guntur (Id: U-0003)",New Era College of Education (Id: C-37106),Affiliated College,Andhra Pradesh,Guntur
161,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Nirmala College of Pharmacy, Mangalagiri (Id: C-39481)",Affiliated College,Andhra Pradesh,Guntur
162,"Acharya Nagarjuna University, Guntur (Id: U-0003)",N.N.R. & C.L. Degree College (Id: C-32743),Affiliated College,Andhra Pradesh,Prakasam
163,"Acharya Nagarjuna University, Guntur (Id: U-0003)",N.N.S. Vidya College of P.G. Studies (Id: C-32761),Affiliated College,Andhra Pradesh,Prakasam
164,"Acharya Nagarjuna University, Guntur (Id: U-0003)",N.N.S Vidya Degree College (Id: C-42657),Affiliated College,Andhra Pradesh,Prakasam
165,"Acharya Nagarjuna University, Guntur (Id: U-0003)",N.R.K & K.S.R Gupta College of Pharmacy (Id: C-39469),Affiliated College,Andhra Pradesh,Guntur
166,"Acharya Nagarjuna University, Guntur (Id: U-0003)",N.R.K. & K.S.R. Gupta Degree College (Id: C-32747),Affiliated College,Andhra Pradesh,Guntur
167,"Acharya Nagarjuna University, Guntur (Id: U-0003)",N.T.R Memorial Degree College (Id: C-32645),Affiliated College,Andhra Pradesh,Prakasam
168,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Omega College of Education (Id: C-32682),Affiliated College,Andhra Pradesh,Prakasam
169,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Palnadu College of Education, Narayanapuram (Id: C-39458)",Affiliated College,Andhra Pradesh,Guntur
170,"Acharya Nagarjuna University, Guntur (Id: U-0003)",P.B.N. College (Id: C-32757),Affiliated College,Andhra Pradesh,Guntur
171,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Pedanandipadu College of Arts and Sciences (Id: C-32781),Affiliated College,Andhra Pradesh,Guntur
172,"Acharya Nagarjuna University, Guntur (Id: U-0003)",P.N.C.A Degree College (Id: C-32620),Affiliated College,Andhra Pradesh,Prakasam
173,"Acharya Nagarjuna University, Guntur (Id: U-0003)",P.N.C & K.R. College (Id: C-32816),Affiliated College,Andhra Pradesh,Guntur
174,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Prabhala Lakshminarayana Memorial Degree College (Id: C-32673),Affiliated College,Andhra Pradesh,Guntur
175,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Prabhala PG College for Women, Nagarjuna Nagar (Id: C-39451)",Affiliated College,Andhra Pradesh,Guntur
176,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Pratap College of Education (Id: C-41026),Affiliated College,Andhra Pradesh,Prakasam
177,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Prathiba Degree College (Id: C-32775),Affiliated College,Andhra Pradesh,Prakasam
178,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Pratibha Degree College, Pedanandipadu (Id: C-41021)",Affiliated College,Andhra Pradesh,Guntur
179,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Priya Darisini Degree College (Id: C-32665),Affiliated College,Andhra Pradesh,Guntur
180,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Priyadarsini Institute of Pharmaceutical Science (Id: C-39474),Affiliated College,Andhra Pradesh,Guntur
181,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Priyanka College of Education (Id: C-32713),Affiliated College,Andhra Pradesh,Prakasam
182,"Acharya Nagarjuna University, Guntur (Id: U-0003)",P.S.B. College of Education (Id: C-39266),Affiliated College,Andhra Pradesh,Prakasam
183,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Qis College of Education (Id: C-39276),Affiliated College,Andhra Pradesh,Prakasam
184,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Radha Degree College, Vinukonda (Id: C-39304)",Affiliated College,Andhra Pradesh,Guntur
185,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Raghava Degree College - Ongole (Id: C-32642),Affiliated College,Andhra Pradesh,Prakasam
